model,auc,accuracy,params,param_str
LightGBM,0.8955223418694341,0.879262796798278,"{'num_leaves': 128, 'learning_rate': 0.1, 'max_depth': -1}","{'num_leaves': 128, 'learning_rate': 0.1, 'max_depth': -1}"
LogisticRegression,0.83950586331923,0.8286137082128203,{'C': 0.01},{'C': 0.01}
LogisticRegression,0.839947970164665,0.8285464451469698,{'C': 0.1},{'C': 0.1}
LogisticRegression,0.8400172028685857,0.8287146028115961,{'C': 1.0},{'C': 1.0}
LogisticRegression,0.8400275432564707,0.8286809712786709,{'C': 10.0},{'C': 10.0}
XGBoost,0.8520000882985617,0.8590838770431156,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}"
XGBoost,0.8594626952699971,0.8625479249344186,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
XGBoost,0.8658202316197763,0.8804399004506626,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}"
XGBoost,0.8780856816575273,0.8856191565211542,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}"
XGBoost,0.8801682996374233,0.8853501042577521,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}","{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}"
XGBoost,0.8879526959184205,0.8907647810587207,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}","{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}"
XGBoost,0.869428974798436,0.8768413264276586,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}"
